page_id,page_title,card_id,title,chart_type,status,missing_fields,url
1134665337,プロテック案件実績,691225406,島忠_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/691225406
1134665337,プロテック案件実績,491639767,DCM_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/491639767
1134665337,プロテック案件実績,400199465,週次_DCM新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/400199465
1134665337,プロテック案件実績,382663062,週次_一建設新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/382663062
1134665337,プロテック案件実績,1234487589,一建設_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1234487589
1134665337,プロテック案件実績,1465957941,ユニット（コラボス）,badge_dropdown_selector,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1465957941
1134665337,プロテック案件実績,1252179431,コラボス_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1252179431
1134665337,プロテック案件実績,1254719814,コーナン_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1254719814
1134665337,プロテック案件実績,1094235989,関西電力_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1094235989
1134665337,プロテック案件実績,431395086,週次_ヤマダデンキ新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/431395086
1134665337,プロテック案件実績,1560170550,ヤマダデンキ_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1560170550
1134665337,プロテック案件実績,620429819,週次_コーナン新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/620429819
1134665337,プロテック案件実績,2133931667,週次_新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/2133931667
1134665337,プロテック案件実績,617367407,元請会社名（コラボス）,badge_dropdown_selector,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/617367407
1134665337,プロテック案件実績,2060477552,週次_アイリスプラザ新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/2060477552
1134665337,プロテック案件実績,1517610841,コラボス_元請け別新規案件数,badge_pivot_table,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1517610841
1134665337,プロテック案件実績,131473852,コラボス_元請会社別新規案件数（昨対比）.,badge_pivot_table,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/131473852
1134665337,プロテック案件実績,222570016,月次_新規案件数（コラボス）,badge_pop_vert_multibar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/222570016
1134665337,プロテック案件実績,25999181,アイリスプラザ_累計新規案件数,badge_line_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/25999181
1134665337,プロテック案件実績,1970933660,営業担当（コラボス）,badge_dropdown_selector,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1970933660
1134665337,プロテック案件実績,1039323943,案件一覧,badge_basic_table,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1039323943
1134665337,プロテック案件実績,1322336018,週次_島忠新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1322336018
1134665337,プロテック案件実績,1483605998,週次_関西電力新規案件数（コラボス）,badge_vert_stackedbar,🟢 Đủ,-,https://astecpaints-co-jp.domo.com/page/1134665337/kpis/details/1483605998
