page_id,page_name,slicer_name,filter_column,slicer_dataset,card_id,card_name,card_dataset,responds,reason
213860614,施工店分析,施工店名（コラボス）,担当施工店,コラボス＋リペイント,633141134,未完工一覧,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,ユニット（コラボス）,ユニット,コラボス＋リペイント,633141134,未完工一覧,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,営業担当（コラボス）,営業担当（文字化け修正）,コラボス＋リペイント,633141134,未完工一覧,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,元請会社名,元請会社（DCMまとめ）,コラボス＋リペイント,633141134,未完工一覧,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,施工店名（コラボス）,担当施工店,コラボス＋リペイント,1931412914,契約一覧(見積結果日基準),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,ユニット（コラボス）,ユニット,コラボス＋リペイント,1931412914,契約一覧(見積結果日基準),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,営業担当（コラボス）,営業担当（文字化け修正）,コラボス＋リペイント,1931412914,契約一覧(見積結果日基準),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,元請会社名,元請会社（DCMまとめ）,コラボス＋リペイント,1931412914,契約一覧(見積結果日基準),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,施工店名（コラボス）,担当施工店,コラボス＋リペイント,1851405345,平均単価(施工店請負金額),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,ユニット（コラボス）,ユニット,コラボス＋リペイント,1851405345,平均単価(施工店請負金額),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,営業担当（コラボス）,営業担当（文字化け修正）,コラボス＋リペイント,1851405345,平均単価(施工店請負金額),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,元請会社名,元請会社（DCMまとめ）,コラボス＋リペイント,1851405345,平均単価(施工店請負金額),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,施工店名（コラボス）,担当施工店,コラボス＋リペイント,1969287996,商談未確定率（見積提案日基準）,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,ユニット（コラボス）,ユニット,コラボス＋リペイント,1969287996,商談未確定率（見積提案日基準）,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,営業担当（コラボス）,営業担当（文字化け修正）,コラボス＋リペイント,1969287996,商談未確定率（見積提案日基準）,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,元請会社名,元請会社（DCMまとめ）,コラボス＋リペイント,1969287996,商談未確定率（見積提案日基準）,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,施工店名（コラボス）,担当施工店,コラボス＋リペイント,138189276,月別施工店ごと商談未確定件数(今期),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,ユニット（コラボス）,ユニット,コラボス＋リペイント,138189276,月別施工店ごと商談未確定件数(今期),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,営業担当（コラボス）,営業担当（文字化け修正）,コラボス＋リペイント,138189276,月別施工店ごと商談未確定件数(今期),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,元請会社名,元請会社（DCMまとめ）,コラボス＋リペイント,138189276,月別施工店ごと商談未確定件数(今期),コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,施工店名（コラボス）,担当施工店,コラボス＋リペイント,53616018,見積数（見積提案日基準）,コラボス＋リペイント,✅,Cùng dataset
213860614,施工店分析,ユニット（コラボス）,ユニット,コラボス＋リペイント,53616018,見積数（見積提案日基準）,コラボス＋リペイント,✅,Cùng dataset
